id_achat,id_client,produit,montant,date_achat
1,1490,Laptop,814.83,2025-10-19
2,573,Laptop,634.15,2025-11-05
3,914,Headphones,1505.91,2025-12-10
4,1125,Phone,1903.72,2025-04-29
5,714,Laptop,1395.52,2025-07-05
6,173,Headphones,524.33,2025-10-11
7,772,Monitor,1107.09,2025-02-10
8,835,Phone,1997.36,2025-05-23
9,1038,Camera,678.65,2025-10-04
10,932,Tablet,177.88,2025-12-21
11,693,Headphones,1649.42,2025-06-19
12,87,Monitor,1204.58,2025-04-22
13,158,Tablet,766.24,2025-04-06
14,1002,Headphones,658.24,2025-10-07
15,973,Camera,1995.75,2025-11-25
16,205,Phone,1008.83,2025-09-24
17,725,Tablet,613.25,2025-11-18
18,118,Phone,1312.13,2025-06-15
19,749,Headphones,200.91,2025-10-09
20,1011,Headphones,1188.72,2025-12-30
21,1265,Camera,1161.09,2025-09-27
22,330,Phone,1238.28,2025-04-07
23,1413,Tablet,573.49,2025-05-27
24,181,Camera,1835.31,2025-06-05
25,1224,Camera,328.11,2026-01-19
26,1089,Headphones,121.12,2025-06-09
27,506,Phone,1972.68,2025-08-06
28,471,Laptop,1576.94,2025-11-14
29,1381,Monitor,817.25,2025-09-24
30,1151,Tablet,1338.13,2025-02-21
31,795,Headphones,1912.65,2025-02-22
32,1352,Camera,270.56,2025-05-06
33,1410,Monitor,1368.27,2025-03-04
34,684,Laptop,930.32,2025-02-23
35,1269,Laptop,1707.59,2025-04-18
36,705,Tablet,175.59,2026-01-18
37,857,Monitor,1876.76,2025-07-17
38,99,Laptop,102.72,2025-07-05
39,1226,Tablet,1167.13,2025-06-04
40,251,Phone,1138.19,2025-03-23
41,488,Monitor,385.67,2025-12-16
42,577,Tablet,1775.09,2025-06-04
43,98,Laptop,1064.82,2025-04-07
44,1168,Tablet,1381.6,2025-06-24
45,1341,Phone,1901.86,2025-04-13
46,1333,Headphones,1240.04,2025-10-10
47,1038,Laptop,434.58,2025-03-07
48,611,Camera,1132.24,2025-03-21
49,1196,Headphones,999.61,2025-11-10
50,806,Tablet,1000.21,2025-03-08
51,257,Phone,206.1,2025-04-19
52,809,Headphones,117.18,2025-07-10
53,1354,Phone,338.25,2025-02-25
54,591,Tablet,1248.85,2025-09-28
55,1311,Monitor,1842.98,2025-12-22
56,1421,Monitor,136.06,2025-02-12
57,106,Tablet,1398.23,2025-10-04
58,1433,Laptop,1645.18,2025-04-27
59,842,Headphones,658.95,2025-12-28
60,474,Phone,1774.54,2025-04-23
61,565,Laptop,1105.56,2025-10-16
62,1061,Camera,1495.0,2025-09-12
63,492,Tablet,624.91,2025-02-02
64,329,Tablet,1604.18,2025-05-21
65,93,Laptop,1446.25,2026-01-16
66,13,Monitor,152.25,2025-02-16
67,647,Laptop,1633.15,2025-11-26
68,1025,Headphones,356.44,2025-01-27
